#;Keyword;Difficulty;Volume;CPC;CPS
130;beregn procentdel;1;30;;1.04
131;beregn pris uden moms;2;30;0.70;
132;beregn løn deltid;0;30;;
133;beregn kvm gulv;0;30;;
134;beregn mit snit;2;20;;0.96
135;beregn besparelse i procent;5;20;;
136;beregn prisstigning i procent;1;20;;
137;beregn moms af beløb;5;20;0.50;
138;beregn promille fald;0;20;;
139;beregn benzin rute;0;20;;
140;beregn drikkevarer til fest;0;20;;
141;beregn vækst i procent;0;20;;
142;beregn løb;0;20;;
143;beregn procentvis forskel;0;20;;
144;beregn km pris;0;20;;
145;beregn ferie;0;20;2.50;
146;beregn rabat i procent;1;20;;
147;beregn solceller;1;20;1.30;
148;beregn brændstofforbrug;0;20;;
149;beregn pris med moms;2;20;0.80;
150;beregn lønudbetaling;7;20;2.50;
151;beregn stjernetegn;0;20;;
152;beregn udbetaling af løn;3;20;1.50;
153;beregn areal cirkel;0;20;;
154;beregn lønstigning;1;20;2.50;
155;beregn diesel forbrug;0;20;;
156;beregn flexjob løn;4;20;;
157;beregn benzin pris;0;20;;
158;beregn nutidsværdi;0;20;;
159;beregn din udbetalte løn;1;20;1.40;
160;beregn indlånsrente;2;10;0.45;
161;beregn procent af tal;0;10;;
162;løn efter skat beregn;2;10;;
163;beregn gennemsnit karakter;2;10;;
164;beregn kvadratmeter gulv;0;10;0.50;
165;beregn inflation formel;2;10;;
166;beregn kvadratmeter online;0;10;;
167;beregn benzinpris;0;10;;
168;beregn kondital ud fra puls;0;10;;
169;beregn procent af beløb;0;10;;
170;beregn procesrenter;0;10;;
171;beregn kalorie ligevægt;0;;0.03;
172;beregn karaktergennemsnit ects;0;;;
173;beregn pris for kørsel;2;;;
174;beregn procentdel af tal;0;;;
175;beregn acceleration;0;;;1.74
